Time (mSec),Stimulus (Code),Right (OD),Left (OS)
5250,None,318,322
5254,None,318,324
5257,None,318,328
5261,None,318,321
5264,None,318,324
5268,None,317,322
5271,None,318,322
5275,None,318,324
5279,None,318,327
5282,None,318,322
5286,None,318,324
5289,None,318,322
5293,None,318,322
5296,None,318,324
5300,None,318,325
5304,None,318,322
5307,None,318,322
5311,None,318,322
5314,None,317,322
5318,None,317,322
5321,None,318,324
5325,None,317,322
5329,None,317,322
5332,None,318,324
5336,None,317,322
5339,None,318,322
5343,None,317,322
5346,None,317,322
5350,None,317,322
5354,None,317,322
5357,None,317,322
5361,None,317,324
5364,None,317,322
5368,None,317,324
5371,None,318,324
5375,None,317,324
5379,None,317,324
5382,None,317,322
5386,None,317,322
5389,None,318,322
5393,None,318,322
5396,None,318,324
5400,None,319,322
5404,None,318,322
5407,None,318,322
5411,None,318,324
5414,None,318,322
5418,None,318,324
5421,None,319,322
5425,None,317,322
5429,None,317,324
5432,None,318,324
5436,None,318,322
5439,None,318,323
5443,None,318,322
5446,None,318,324
5450,None,317,324
5454,None,317,324
5457,None,317,322
5461,None,316,322
5464,None,317,322
5468,None,317,321
5471,None,316,321
5475,None,316,322
5479,None,316,322
5482,None,317,322
5486,None,317,322
5489,None,317,322
5493,None,317,322
5496,None,317,322
5500,None,318,322
5504,None,317,322
5507,None,317,322
5511,None,317,322
5514,None,317,322
5518,None,318,322
5521,None,317,322
5525,None,318,322
5529,None,318,322
5532,None,318,322
5536,None,318,324
5539,None,318,322
5543,None,318,325
5546,None,319,322
5550,None,319,325
5554,None,318,322
5557,None,319,322
5561,None,318,322
5564,None,318,322
5568,None,318,322
5571,None,319,322
5575,None,318,322
5579,None,320,322
5582,None,318,328
5586,None,318,324
5589,None,320,322
